areaname,yearly_median
Astoria,2027.6666666666667
Bath Beach,1742
Battery Park City,4077.4444444444443
Bay Ridge,1764.6666666666667
Bayside,2026
Bedford Park,1697.888888888889
Bedford-Stuyvesant,2429.777777777778
Belmont,2123.6666666666665
Bensonhurst,1673.111111111111
Boerum Hill,2771.5555555555557
Borough Park,1807.5555555555557
Briarwood,1725
Brighton Beach,1887.888888888889
Bronxwood,1663.888888888889
Brooklyn Heights,2940.3333333333335
Brownsville,1971.6666666666667
Bushwick,2531.6666666666665
Canarsie,2081.6666666666665
Carroll Gardens,2736.1111111111113
Central Harlem,2366.1111111111113
Central Park South,7105.555555555556
Chelsea,3882.5555555555557
Chinatown,2457.222222222222
Clinton Hill,2743.3333333333335
Cobble Hill,2894.4444444444443
Columbia St Waterfront District,2501.1111111111113
Concourse,1872.5555555555557
Coney Island,2155.3333333333335
Corona,1898.5555555555557
Crown Heights,2364.222222222222
DUMBO,4224.222222222223
Ditmas Park,1997
Downtown Brooklyn,3446.3333333333335
Dyker Heights,1972.2222222222222
East Flatbush,2160.1111111111113
East Harlem,2168.3333333333335
East New York,2146.777777777778
East Village,2953.4444444444443
Elmhurst,1829.4444444444443
Financial District,3621.8888888888887
Flatbush,2158
Flatiron,4725.777777777777
Flushing,1984
Fordham,1817.3333333333333
Forest Hills,1993.111111111111
Fort Greene,2968
Glendale,2084.6666666666665
Gowanus,2785.8888888888887
Gramercy Park,3152.222222222222
Gravesend,1777.3333333333333
Greenpoint,2968.5555555555557
Greenwich Village,3420.8888888888887
Greenwood,2173.6666666666665
Hamilton Heights,2296.8888888888887
Highbridge,1828.888888888889
Inwood,1873.888888888889
Jackson Heights,1847.2222222222222
Jamaica,2201.777777777778
Jamaica Estates,1933.7777777777778
Kensington,1932.7777777777778
Kew Gardens,1856.5555555555557
Kew Gardens Hills,1951.3333333333333
Kingsbridge,1823.4444444444443
Little Italy,2628
Long Island City,3125.222222222222
Lower East Side,3033.1111111111113
Maspeth,2101.222222222222
Middle Village,2097.1111111111113
Midtown,3804.222222222222
Midtown East,3091.222222222222
Midtown South,3740.3333333333335
Midtown West,3166.3333333333335
Midwood,1920.6666666666667
Morningside Heights,3254.4444444444443
Morris Park,1816.3333333333333
Mott Haven,2336.6666666666665
Nolita,3197
Norwood,1716.888888888889
Park Slope,2749.222222222222
Prospect Heights,2845.5555555555557
Prospect Lefferts Gardens,2183.3333333333335
Prospect Park South,2073.8888888888887
Red Hook,2322.222222222222
Rego Park,1983.3333333333333
Richmond Hill,1845.3333333333333
Ridgewood,2355.3333333333335
Riverdale,2351.222222222222
Rockaway All,2019.5555555555557
Roosevelt Island,3117.6666666666665
Sheepshead Bay,1872.5555555555557
Soho,4551.666666666667
Soundview,1975.4444444444443
Stuyvesant Town/PCV,3832.777777777778
Sunnyside,1847.2222222222222
Sunset Park,1931.111111111111
Tremont,1635.3333333333333
Tribeca,6348.777777777777
University Heights,1755.6666666666667
Upper East Side,2527.4444444444443
Upper West Side,3036
Wakefield,1844.4444444444443
Washington Heights,2094.4444444444443
West Harlem,2337.5555555555557
West Village,3535.8888888888887
Williamsburg,3113
Windsor Terrace,2533.3333333333335
Woodhaven,1978.3333333333333
Woodside,1812.111111111111
